
Big Board speller
Rank
	
Name
	
Time
	
Load
	
Check
	
Size
	
Unload
	
Memory
	
Heap
	
Stack
123	khalidos11 	7.012 s	0.601 s	6.013 s	0.000 s	0.398 s	8.0 MB	8.0 MB	1.0 kB
124	jzheng7814 	7.017 s	0.942 s	5.737 s	0.000 s	0.338 s	8.0 MB	8.0 MB	3.0 kB
125	MorningSeascape 	7.020 s	0.922 s	5.753 s	0.000 s	0.345 s	8.0 MB	8.0 MB	3.0 kB
126	jsegaert 	7.020 s	1.024 s	5.630 s	0.000 s	0.366 s	8.0 MB	8.0 MB	3.0 kB
127	hh-19 	7.020 s	0.804 s	5.868 s	0.000 s	0.348 s	8.0 MB	8.0 MB	3.0 kB
128	coldhed 	7.022 s	1.002 s	5.666 s	0.000 s	0.353 s	8.0 MB	8.0 MB	2.9 kB
129	Gaspoov 	7.022 s	0.758 s	5.903 s	0.000 s	0.361 s	8.0 MB	8.0 MB	944 Bytes
130	Brenda Anderson Staff 	7.022 s	0.716 s	5.998 s	0.000 s	0.309 s	3.7 MB	3.7 MB	3.0 kB
131	mpagadala-cs50 	7.023 s	0.889 s	5.780 s	0.000 s	0.354 s	8.0 MB	8.0 MB	1.1 kB
132	olavblaak 	7.024 s	0.999 s	5.679 s	0.000 s	0.346 s	8.0 MB	8.0 MB	3.0 kB
133	jboueri 	7.024 s	0.966 s	5.700 s	0.000 s	0.357 s	8.0 MB	8.0 MB	3.0 kB
134	feyyazacikalin 	7.025 s	0.936 s	5.725 s	0.000 s	0.363 s	8.0 MB	8.0 MB	3.0 kB
135	M-Mayer 	7.026 s	0.879 s	5.779 s	0.000 s	0.368 s	8.0 MB	8.0 MB	3.0 kB
136	Berutoron 	7.032 s	1.071 s	5.596 s	0.000 s	0.365 s	8.0 MB	8.0 MB	3.0 kB
137	MateoEspinel 	7.032 s	0.876 s	5.787 s	0.000 s	0.369 s	8.0 MB	8.0 MB	3.0 kB
138	NavidNaf 	7.035 s	0.870 s	5.822 s	0.000 s	0.342 s	8.0 MB	8.0 MB	2.9 kB
139	ashrafk2020 	7.035 s	0.920 s	5.739 s	0.000 s	0.375 s	8.0 MB	8.0 MB	3.0 kB
140	gprsls 	7.036 s	1.098 s	5.584 s	0.000 s	0.354 s	8.0 MB	8.0 MB	2.9 kB
141	SethHu20 	7.036 s	0.982 s	5.668 s	0.000 s	0.386 s	8.0 MB	8.0 MB	3.0 kB
142	trev-orr 	7.036 s	0.809 s	5.853 s	0.000 s	0.375 s	8.0 MB	8.0 MB	2.9 kB
143	biomedengsam 	7.038 s	0.927 s	5.698 s	0.000 s	0.412 s	8.0 MB	8.0 MB	3.0 kB
144	fabiopapaiss 	7.045 s	0.876 s	5.804 s	0.000 s	0.365 s	8.0 MB	8.0 MB	3.0 kB
145	awu1130 	7.046 s	0.923 s	5.782 s	0.000 s	0.340 s	8.0 MB	8.0 MB	3.0 kB
146	dlzhry2 	7.056 s	1.146 s	5.564 s	0.000 s	0.346 s	8.0 MB	8.0 MB	3.0 kB
147	eric-adolph 	7.056 s	1.011 s	5.695 s	0.000 s	0.350 s	8.0 MB	8.0 MB	3.0 kB
148	vort-aus 	7.058 s	0.908 s	5.806 s	0.000 s	0.344 s	8.0 MB	8.0 MB	3.0 kB
149	shashaktjha 	7.058 s	0.925 s	5.767 s	0.000 s	0.365 s	8.0 MB	8.0 MB	3.0 kB
150	Sunayaaa 	7.059 s	0.976 s	5.729 s	0.000 s	0.354 s	8.0 MB	8.0 MB	3.0 kB
151	kirillsh93 	7.064 s	0.963 s	5.745 s	0.000 s	0.357 s	8.0 MB	8.0 MB	3.0 kB
152	krlun 	7.066 s	0.804 s	5.891 s	0.000 s	0.371 s	8.0 MB	8.0 MB	2.9 kB
153	azh412 	7.067 s	0.947 s	5.750 s	0.000 s	0.370 s	8.0 MB	8.0 MB	2.9 kB
154	CPern02 	7.069 s	0.924 s	5.787 s	0.000 s	0.358 s	8.0 MB	8.0 MB	3.0 kB
155	dharyadi 	7.071 s	0.805 s	5.877 s	0.000 s	0.389 s	8.0 MB	8.0 MB	3.0 kB
156	hursitkaplan 	7.071 s	0.969 s	5.761 s	0.000 s	0.342 s	8.0 MB	8.0 MB	2.9 kB
157	a-richard 	7.072 s	0.959 s	5.711 s	0.000 s	0.402 s	8.0 MB	8.0 MB	3.0 kB
158	Alin121 	7.074 s	0.947 s	5.764 s	0.000 s	0.363 s	8.0 MB	8.0 MB	3.0 kB
159	luk020 	7.078 s	0.818 s	5.850 s	0.000 s	0.409 s	8.0 MB	8.0 MB	3.0 kB
160	ayush1301 	7.079 s	0.872 s	5.849 s	0.000 s	0.358 s	8.0 MB	8.0 MB	2.9 kB
161	Catthulhu 	7.080 s	0.979 s	5.741 s	0.000 s	0.359 s	8.0 MB	8.0 MB	3.0 kB
162	arctoswu 	7.081 s	1.210 s	5.550 s	0.000 s	0.320 s	9.2 MB	9.2 MB	944 Bytes
163	chilonlau 	7.085 s	0.885 s	5.823 s	0.000 s	0.377 s	8.0 MB	8.0 MB	3.0 kB
164	Takonan 	7.085 s	0.744 s	6.330 s	0.000 s	0.010 s	8.0 MB	8.0 MB	3.0 kB
165	SoLLas 	7.085 s	1.053 s	5.674 s	0.000 s	0.359 s	8.0 MB	8.0 MB	2.9 kB
166	hattas 	7.086 s	0.960 s	5.752 s	0.000 s	0.373 s	8.0 MB	8.0 MB	3.0 kB
167	pulak-deyashi 	7.088 s	0.888 s	5.810 s	0.000 s	0.391 s	8.0 MB	8.0 MB	3.0 kB
168	ankitjk 	7.089 s	1.006 s	5.738 s	0.000 s	0.346 s	8.0 MB	8.0 MB	2.9 kB
169	OmKshirsagar 	7.089 s	1.305 s	5.731 s	0.000 s	0.053 s	8.0 MB	8.0 MB	3.0 kB
170	iceburstblue 	7.092 s	0.860 s	5.882 s	0.000 s	0.350 s	8.0 MB	8.0 MB	3.0 kB
171	Blinkz 	7.094 s	1.040 s	5.654 s	0.000 s	0.400 s	8.0 MB	8.0 MB	3.0 kB
172	sarenee-coder 	7.095 s	0.796 s	5.862 s	0.000 s	0.437 s	8.0 MB	8.0 MB	1.1 kB
173	DjalalZt 	7.097 s	0.860 s	5.861 s	0.000 s	0.376 s	8.0 MB	8.0 MB	3.0 kB
174	tsokying 	7.097 s	0.979 s	5.768 s	0.000 s	0.350 s	8.0 MB	8.0 MB	3.0 kB
175	17dce069 	7.099 s	0.807 s	5.928 s	0.000 s	0.365 s	8.0 MB	8.0 MB	3.0 kB
176	notSamyak 	7.100 s	0.931 s	5.811 s	0.000 s	0.358 s	8.0 MB	8.0 MB	3.0 kB
177	rajeevreddyms5 	7.100 s	0.871 s	5.841 s	0.000 s	0.388 s	8.0 MB	8.0 MB	3.0 kB
178	NabeelMS 	7.101 s	1.060 s	5.676 s	0.000 s	0.365 s	8.0 MB	8.0 MB	3.0 kB
179	FranciscaUreta 	7.102 s	1.044 s	5.682 s	0.000 s	0.377 s	8.0 MB	8.0 MB	3.0 kB
180	frereit 	7.102 s	0.839 s	5.917 s	0.000 s	0.346 s	8.0 MB	8.0 MB	1.0 kB
181	factor-m 	7.104 s	0.893 s	6.198 s	0.000 s	0.012 s	8.0 MB	8.0 MB	2.9 kB
182	fedandr 	7.104 s	0.825 s	5.882 s	0.000 s	0.397 s	8.0 MB	8.0 MB	1.1 kB
183	waelmansour0 	7.104 s	0.939 s	5.798 s	0.000 s	0.367 s	8.0 MB	8.0 MB	3.0 kB
184	A7mad-2000as 	7.105 s	0.595 s	6.111 s	0.000 s	0.399 s	8.0 MB	8.0 MB	1.0 kB
185	eyoel-sudo 	7.105 s	0.898 s	5.841 s	0.000 s	0.366 s	8.0 MB	8.0 MB	3.0 kB
186	OrionMat 	7.105 s	1.025 s	5.723 s	0.000 s	0.358 s	8.0 MB	8.0 MB	3.0 kB
187	TaymKall 	7.106 s	0.919 s	5.860 s	0.000 s	0.326 s	8.0 MB	8.0 MB	3.0 kB
188	alxzhng 	7.107 s	1.101 s	5.674 s	0.000 s	0.332 s	8.0 MB	8.0 MB	1.1 kB
189	DanPEV 	7.108 s	1.008 s	5.718 s	0.000 s	0.382 s	8.0 MB	8.0 MB	3.0 kB
190	ErezGu 	7.111 s	1.071 s	6.029 s	0.000 s	0.011 s	8.5 MB	8.5 MB	2.9 kB
191	leff32 	7.111 s	0.978 s	6.045 s	0.000 s	0.089 s	8.0 MB	8.0 MB	2.9 kB
192	DeepBahirshet 	7.112 s	0.989 s	5.791 s	0.000 s	0.331 s	8.0 MB	8.0 MB	2.9 kB
193	VliegendeLeeuw 	7.113 s	0.909 s	5.844 s	0.000 s	0.360 s	8.0 MB	8.0 MB	3.0 kB
194	LouisThomsonMusic 	7.116 s	0.986 s	5.744 s	0.000 s	0.386 s	8.0 MB	8.0 MB	3.0 kB
195	TokomNyori 	7.116 s	0.861 s	5.885 s	0.000 s	0.370 s	8.0 MB	8.0 MB	3.0 kB
196	ChinmayDesh 	7.118 s	1.048 s	5.699 s	0.000 s	0.371 s	8.0 MB	8.0 MB	3.0 kB
197	james-kartadinata 	7.119 s	0.869 s	5.879 s	0.000 s	0.371 s	8.0 MB	8.0 MB	3.0 kB
198	mmohsen547 	7.120 s	0.884 s	5.837 s	0.000 s	0.399 s	8.0 MB	8.0 MB	3.0 kB
199	jamoooc 	7.121 s	0.923 s	5.838 s	0.000 s	0.360 s	8.0 MB	8.0 MB	3.0 kB
200	edwardmpearce 	7.121 s	0.967 s	5.791 s	0.000 s	0.363 s	8.0 MB	8.0 MB	2.9 kB
201	LSUengineer 	7.124 s	0.804 s	5.899 s	0.000 s	0.421 s	8.0 MB	8.0 MB	3.0 kB
202	fukjsh 	7.124 s	0.919 s	5.835 s	0.000 s	0.371 s	8.0 MB	8.0 MB	3.0 kB
